sampleID,temperature,bondDuration,voltagePower,bondForce,bondMiddle,bondedArea,bondItself,labels
1,150,100,2.4,100,0.137512,0.053314,0.033867,
2,150,100,2.4,120,0.15083,0.043749,0.027937,
3,150,100,2.4,60,0.077722,0.054319,0.032881,
4,150,100,2.4,80,0.125642,0.061619,0.039814,
5,150,100,2.4,80,0.132682,0.058889,0.033631,
6,150,100,2.7,100,0.141669,0.054104,0.038647,
7,150,100,2.7,100,0.130343,0.056273,0.041604,
8,150,100,2.7,120,0.145228,0.056465,0.029831,
9,150,100,2.7,120,0.148141,0.050022,0.027727,
10,150,100,2.7,60,0.131282,0.046423,0.032372,
11,150,100,2.7,80,0.129006,0.054356,0.036513,
12,150,100,3,100,0.141755,0.051317,0.028068,
13,150,100,3,100,0.149745,0.050328,0.036676,
14,150,100,3,120,0.148721,0.071876,0.030915,
15,150,100,3,120,0.153088,0.052566,0.033313,
16,150,100,3,60,0.073828,0.046102,0.03112,
17,150,100,3,80,0.139151,0.055778,0.021429,
18,150,100,3,80,0.139051,0.058671,0.034545,
19,150,100,3.8,20,0.05825630584,-1,0.03654968356,
20,150,100,3.8,20,0.04772502993,-1,0.03734079157,
21,150,150,3.8,20,0.06203783503,0.05754151261,0.04047463191,
22,150,150,3.8,20,0.05104126919,-1,0.03861396561,
23,150,200,3.8,20,0.06251299325,0.05326952935,0.03359890001,
24,150,200,3.8,20,0.05756881488,0.04448526993,0.03160599861,
25,150,300,3.8,20,0.06441658662,0.05343071144,0.03494394811,
26,150,300,3.8,20,0.06974825989,0.05565272167,0.03623899686,
27,150,50,4.2,20,0.05610386705,-1,0.04225092433,
28,150,50,4.2,20,0.05808065025,0.05238352127,0.05047433586,
29,150,100,4.2,20,0.07050433547,0.06266858331,0.04605317693,
30,150,100,4.2,20,0.07272848384,0.0616730372,0.04659856449,
31,150,200,4.2,20,0.06122666149,0.05115146511,0.04572785227,
32,150,200,4.2,20,0.1537698517,0.05773394429,0.04877353587,
33,150,300,4.2,20,0.07286367943,0.06040561966,0.04508443968,
34,150,300,4.2,20,0.0655792358,0.05582344311,0.0425774003,
