sampleID,temperature,bondDuration,voltagePower,bondForce,bondMiddle,bondedArea,bondItself,bondLengthDifference,labels,heelDeformation,centerDeformation,failureMode,annealed,annealedTemp,AnnealedDuration
101,150,150,2.4,60,65.802,55.813,35.252,30.55,5.5,0.58,0.87,Heel Break,0,0,0
102,150,150,2.4,120,146.111,55.075,34.121,111.99,1.65,0.61,3.28,Heel Break,0,0,0
103,150,150,2.4,60,77.722,54.319,32.881,44.841,5.5,0.65,1.36,Heel Break,0,0,0
201,150,150,2.7,100,130.343,56.273,41.604,88.739,-0.55,0.35,2.13,Heel Break,0,0,0
202,150,150,2.7,100,141.669,54.104,38.647,103.022,4.4,0.40,2.67,Heel Break,0,0,0
203,150,150,2.7,120,146.884,67.58,38.486,108.398,2.75,0.76,2.82,Heel Break,0,0,0
204,150,150,2.7,80,140.442,64.732,38.229,102.213,3.3,0.69,2.67,Heel Break,0,0,0
205,150,150,2.7,60,85.759,64.904,37.988,47.771,4.95,0.71,1.26,Heel Break,0,0,0
206,150,150,2.7,80,129.006,54.356,36.513,92.493,2.75,0.49,2.53,Ribbon Break,0,0,0
207,150,150,2.7,100,138.293,53.815,33.238,105.055,4.4,0.62,3.16,Ribbon Break,0,0,0
208,150,150,2.7,80,130.026,62.694,33.191,96.835,-0.55,0.89,2.92,Ribbon Break,0,0,0
209,150,150,2.7,60,131.282,46.423,32.372,98.91,-0.55,0.43,3.06,Heel Break,0,0,0
210,150,150,2.7,120,145.228,56.465,29.831,115.397,5.5,0.89,3.87,Ribbon Break,0,0,0
211,150,150,2.7,120,146.32,57.395,28.62,117.7,4.4,1.01,4.11,Heel Break,0,0,0
301,150,150,3,100,149.745,50.328,36.676,113.069,6.05,0.37,3.08,Ribbon Break,0,0,0
302,150,150,3,80,139.051,58.671,34.545,104.506,2.2,0.70,3.03,Heel Break,0,0,0
303,150,150,3,120,153.088,52.566,33.313,119.775,4.95,0.58,3.60,Heel Break,0,0,0
304,150,150,3,60,124.842,60.837,32.743,92.099,6.6,0.86,2.81,Heel Break,0,0,0
305,150,150,3,120,147.82,53.172,32.477,115.343,5.5,0.64,3.55,Heel Break,0,0,0
306,150,150,3,60,73.828,46.102,31.112,42.716,7.15,0.48,1.37,Ribbon Break,0,0,0
307,150,150,3,120,148.721,71.876,30.915,117.806,6.6,1.32,3.81,Heel Break,0,0,0
308,150,150,3,100,141.755,51.317,28.068,113.687,2.75,0.83,4.05,Heel Break,0,0,0
309,150,150,3,80,142.4,52.061,25.077,117.323,0.55,1.08,4.68,Heel Break,0,0,0
310,150,150,3,80,139.151,55.778,21.429,117.722,4.4,1.60,5.49,Heel Break,0,0,0
401,150,100,3.8,20,47.725,-1,37.341,10.384,3.85,-0.01,0.28,Heel Break,0,0,0
402,150,100,3.8,20,52.01,40.822,34.338,17.672,4.95,0.19,0.51,Heel Break,0,0,0
403,150,200,3.8,20,63.158,55.595,33.655,29.503,2.2,0.65,0.88,Heel Break,0,0,0
404,150,300,3.8,20,62.859,53.682,33.578,29.281,5.5,0.60,0.87,Ribbon Break,0,0,0
405,150,100,3.8,20,54.942,35.854,32.921,22.021,1.1,0.09,0.67,Heel Break,0,0,0
406,150,250,3.8,20,57.568,44.486,31.606,25.962,3.85,0.41,0.82,Heel Break,0,0,0
501,150,200,4.2,20,153.769,57.734,48.773,104.996,1.65,0.18,2.15,Ribbon Break,0,0,0
502,150,300,4.2,20,65.579,55.823,42.577,23.002,2.2,0.31,0.54,Heel Break,0,0,0
503,150,50,4.2,20,56.104,-1,42.251,13.853,0.55,-0.01,0.33,Heel Break,0,0,0
601,150,200,3,20,137.245,31.785,47.057,90.188,4.95,-0.32,1.92,Heel Break,1,600,900
602,150,200,3,20,134.055,32.338,46.292,87.763,2.75,-0.30,1.90,Foot Lift,1,600,900
603,150,150,2,20,128.85,36.633,46.147,82.703,3.3,-0.21,1.79,Foot Lift,1,600,900
604,150,200,2.6,20,135.253,39.157,45.424,89.829,4.4,-0.14,1.98,Heel Break,1,600,900
605,150,250,3,50,138.366,44.281,45.076,93.29,2.2,-0.02,2.07,Heel Break,1,600,900
606,150,250,3,50,62.521,51.002,43.505,19.016,0.55,0.17,0.44,Heel Break,1,600,900
607,150,200,2.8,20,138.224,34.613,41.905,96.319,3.3,-0.17,2.30,Foot Lift,1,600,900
608,150,200,2.6,20,135.539,46.876,40.24,95.299,4.4,0.16,2.37,Foot Lift,1,600,900
609,150,200,3,20,139.173,36.398,39.05,100.123,4.95,-0.07,2.56,Heel Break,1,600,900
610,150,200,2.8,20,131.883,35.823,36.564,95.319,3.3,-0.02,2.61,Foot Lift,1,600,900
